stock_no,stock_name,obs_day,average_stock_p,trade_day,no_trade_day,return_rate,mse,rmse,mape,r2,current_stock_price,yesterday_stock_price,predict_state,predict_stock_price,rmse_10,rmse_20,mape_10,mape_20,risk,last_update_date,error_data,last_training_date
2207,和泰車,365,615.45,265,99,4.6,140.71,11.86,1.44,0.92,597.0,582.0,1,559.010009765625,45.701096117521836,42.653856121561,7.353748659234731,6.8064307060864,10.54551538507446,111/06/8,crawl_error,111/06/8
2303,聯電,365,47.07,255,109,7.07,2.05,1.43,2.32,0.99,50.2,49.4,2,59.529998779296875,13.596424840228226,16.14572651093435,21.534357439309627,24.64582209565093,0.7276675064890558,111/06/8,crawl_error,111/06/8
2308,台達電,365,252.9,246,116,2.76,26.05,5.1,1.51,0.99,231.5,224.0,2,249.14999389648438,44.02609598462848,33.41010886920479,16.34735920178459,11.237292623003835,4.669328814610015,111/06/8,crawl_error,111/06/8
2317,鴻海,365,84.13,107,257,2.25,13.5,3.68,2.19,0.96,110.0,109.0,2,116.72000122070312,1.7564673999409377,2.389756777722416,1.482577349608633,1.9976975854442593,0.8925864251240826,111/06/8,crawl_error,111/06/8
2327,國巨,365,468.99,267,97,8.1,142.27,11.92,1.85,0.98,393.0,385.5,2,398.0400085449219,63.63848193785412,59.703198726472586,13.819014756719012,12.853313030582877,7.1000370643954716,111/06/8,crawl_error,111/06/8
2330,台積電,365,377.08,226,138,2.47,80.31,8.96,1.26,0.99,530.0,514.0,2,571.9600219726562,81.54521967986152,74.18471838458083,13.447767927358262,12.103729987676056,9.572301048777199,111/06/8,crawl_error,111/06/8
2357,華碩,365,261.19,240,124,2.93,32.23,5.68,1.21,0.99,329.0,323.5,2,346.3800048828125,33.56127430351924,24.25777967520081,8.54796147399208,5.178403484252686,4.587956201323544,111/06/8,crawl_error,111/06/8
2379,瑞昱,365,302.25,274,90,10.96,140.55,11.86,1.94,0.97,429.5,417.5,2,461.5,138.57504688755373,148.39654303283726,24.649915641154337,26.473350749824327,7.399279836934346,111/06/8,crawl_error,111/06/8
2382,廣達,365,2382.0,252,112,3.81,2.17,1.48,1.27,0.95,77.2,76.7,2,79.23999786376953,8.262143700950753,6.371484875645011,8.572653430734958,6.239369129647822,1.4960562190393498,111/06/8,crawl_error,111/06/8
2395,研華,365,341.65,257,107,3.52,44.5,6.68,1.4,0.95,363.5,351.0,2,375.3800048828125,47.353823634812926,36.79255785152911,11.5230676244816,7.855754083478575,9.992760537403804,111/06/8,crawl_error,111/06/8
2408,南亞科,365,74.18,240,124,3.23,4.03,2.01,1.88,0.98,63.9,63.5,2,71.80999755859375,10.191084677845437,11.219870597664507,13.279880861930144,14.358822554801028,0.9427144457977661,111/06/8,crawl_error,111/06/8
2412,中華電,365,111.27,196,168,1.29,0.77,0.88,0.51,0.89,125.5,127.5,1,124.13999938964844,9.622103135426421,13.43097354225191,8.353222699353276,11.17648673435589,1.5423836644690752,111/06/8,crawl_error,111/06/8
2454,聯發科,365,847.38,269,95,6.32,672.28,25.93,2.18,0.97,851.0,833.0,2,970.02001953125,245.19477097090578,232.86944754266494,22.755358657968376,21.620988969193196,12.938213494182751,111/06/8,crawl_error,111/06/8
2474,可成,365,187.06,237,127,3.18,11.45,3.39,1.29,0.97,165.0,163.5,1,155.8800048828125,3.023560026793226,5.666232575239313,1.6219788295665676,3.103550519296289,2.576589953693386,111/06/8,crawl_error,111/06/8
2633,台灣高鐵,365,30.11,201,163,1.66,0.1,0.32,0.73,0.89,28.15,27.75,1,27.200000762939453,1.987058137155572,1.4960732275896504,6.679244104584245,4.337638683489162,0.32114105771042173,111/06/8,crawl_error,111/06/8
2801,彰銀,365,17.26,205,159,2.04,0.03,0.18,0.756,0.95,18.15,18.05,1,17.899999618530273,1.1604136646244099,1.508645129486894,6.916962313116491,8.742072000080094,0.18925059966532265,111/06/8,crawl_error,111/06/8
2880,華南金,365,18.98,206,158,2.26,0.03,0.18,0.69,0.97,22.85,22.7,1,22.520000457763672,1.308560234354017,2.156000879676866,6.062257501266847,9.63467301653642,0.40509907819926566,111/06/8,crawl_error,111/06/8
