,日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
17,108/05/27,15958252,277838284,17.5,17.55,17.35,17.4,-0.1,3071
16,108/05/24,8556767,149798167,17.55,17.55,17.45,17.5,0.0,2792
15,108/05/23,17323121,302482188,17.5,17.5,17.4,17.5,0.0,4477
14,108/05/22,14121589,247135443,17.45,17.55,17.45,17.5,0.05,3631
13,108/05/21,30347349,529654148,17.4,17.5,17.4,17.45,0.05,2809
12,108/05/20,10141293,176189388,17.4,17.45,17.3,17.4,0.1,2007
11,108/05/17,15028348,261105540,17.4,17.5,17.3,17.3,0.0,4322
10,108/05/16,14531130,251512563,17.35,17.4,17.2,17.3,-0.05,3287
9,108/05/15,12433812,215847826,17.25,17.45,17.25,17.35,0.1,2840
8,108/05/14,18144229,313626229,17.3,17.4,17.2,17.25,-0.2,4136
7,108/05/13,10960579,192248517,17.65,17.7,17.45,17.45,-0.15,2848
6,108/05/10,10631709,187886755,17.7,17.8,17.55,17.6,0.05,1964
5,108/05/09,17127657,303292685,17.8,17.85,17.55,17.55,-0.25,3093
4,108/05/08,10407974,185449075,17.8,17.9,17.75,17.8,-0.2,2548
3,108/05/07,22015603,393672954,17.85,18.0,17.75,18.0,0.2,4111
2,108/05/06,14088427,250376293,17.9,17.9,17.7,17.8,-0.2,2759
1,108/05/03,19221485,345027965,17.85,18.0,17.8,18.0,0.25,3330
0,108/05/02,15381457,274300111,17.9,17.95,17.75,17.75,-0.15,2981
19,108/04/30,12871327,230096771,17.8,17.95,17.8,17.9,0.1,2268
18,108/04/29,13967338,248999515,17.8,17.95,17.7,17.8,-0.05,1992
17,108/04/26,10079889,179403299,17.8,17.85,17.7,17.85,0.05,3411
16,108/04/25,10456109,186155691,17.8,17.9,17.7,17.8,-0.1,2545
15,108/04/24,9001273,160782341,17.85,17.9,17.8,17.9,0.05,1895
14,108/04/23,7050289,125538883,17.75,17.85,17.6,17.85,0.15,1536
13,108/04/22,7445467,131863339,17.8,17.85,17.6,17.7,-0.05,1223
12,108/04/19,6092120,108617298,17.9,17.9,17.75,17.75,-0.1,1540
11,108/04/18,15969126,284667445,17.8,17.9,17.75,17.85,-0.05,1610
10,108/04/17,8864294,158317162,17.9,17.9,17.8,17.9,0.0,2239
9,108/04/16,13643464,243227152,17.75,17.9,17.75,17.9,0.15,2598
8,108/04/15,8926369,158453446,17.75,17.8,17.7,17.75,0.0,1553
7,108/04/12,7057800,125055215,17.65,17.75,17.6,17.75,0.0,1582
6,108/04/11,17239170,306658070,17.7,17.9,17.65,17.75,0.1,2631
5,108/04/10,23456107,413906881,17.65,17.75,17.55,17.65,-0.15,3500
4,108/04/09,18882749,335251757,17.65,17.8,17.65,17.8,0.15,2640
3,108/04/08,16395507,289365702,17.5,17.75,17.45,17.65,0.2,3188
2,108/04/03,22418827,394338526,17.6,17.7,17.4,17.45,-0.15,4612
1,108/04/02,10096637,177405057,17.6,17.65,17.5,17.6,0.05,2248
0,108/04/01,12046170,211112403,17.5,17.6,17.45,17.55,0.0,1617
19,108/03/29,30489832,532866161,17.3,17.55,17.3,17.55,0.2,3159
18,108/03/28,23293113,404080496,17.5,17.5,17.25,17.35,-0.2,3726
17,108/03/27,11343701,198552066,17.55,17.55,17.4,17.55,0.0,2435
16,108/03/26,9109659,159516179,17.5,17.6,17.4,17.55,0.05,1444
15,108/03/25,13377084,232685322,17.4,17.5,17.2,17.5,-0.05,2088
14,108/03/22,13838907,242445418,17.6,17.65,17.4,17.55,-0.1,2120
13,108/03/21,17229677,303492513,17.65,17.65,17.5,17.65,0.0,1764
12,108/03/20,22385614,392581434,17.45,17.65,17.4,17.65,0.2,3130
11,108/03/19,26725961,468825644,17.75,17.8,17.45,17.45,-0.25,3599
10,108/03/18,20916868,368846263,17.75,17.75,17.45,17.7,-0.15,3469
9,108/03/15,17659009,314998819,17.7,17.9,17.7,17.85,0.15,1916
8,108/03/14,14749783,262169653,17.8,17.9,17.7,17.7,-0.2,3080
7,108/03/13,27277763,487396417,17.85,17.9,17.75,17.9,0.25,5058
6,108/03/12,20990986,369952224,17.55,17.65,17.5,17.65,0.2,6026
5,108/03/11,13998517,244228153,17.3,17.55,17.3,17.45,0.05,2224
4,108/03/08,14920798,260905783,17.55,17.55,17.4,17.4,-0.2,3386
3,108/03/07,27545343,483449053,17.6,17.6,17.5,17.6,0.1,6367
2,108/03/06,21603714,378499859,17.5,17.6,17.45,17.5,0.05,4883
1,108/03/05,35858123,623778033,17.35,17.45,17.25,17.45,0.25,8679
0,108/03/04,31478111,543306988,17.45,17.45,17.15,17.2,-0.25,5562
12,108/02/27,30539331,532255999,17.4,17.5,17.3,17.45,0.05,3262
11,108/02/26,29004825,504940223,17.4,17.5,17.35,17.4,0.0,3013
10,108/02/25,12774513,221558265,17.35,17.4,17.25,17.4,0.05,2232
9,108/02/22,28768628,496291580,17.15,17.35,17.15,17.35,0.25,4711
8,108/02/21,30391038,519572864,17.05,17.2,17.0,17.1,-0.05,2577
7,108/02/20,27625100,472441167,17.05,17.15,17.05,17.15,0.1,2661
6,108/02/19,10932797,187117149,17.15,17.2,17.05,17.05,-0.1,2972
5,108/02/18,16713202,285505895,16.95,17.2,16.95,17.15,0.3,3165
4,108/02/15,17972293,305518453,17.05,17.1,16.85,16.85,-0.25,3674
3,108/02/14,21529357,367505968,16.9,17.15,16.9,17.1,0.05,5017
2,108/02/13,25419611,432856389,17.05,17.1,16.9,17.05,0.05,6340
1,108/02/12,31452058,533942786,16.85,17.05,16.8,17.0,0.15,5753
0,108/02/11,24366926,412999171,17.0,17.05,16.85,16.85,-0.15,4877
20,108/01/30,32866430,557381802,16.85,17.05,16.8,17.0,0.05,4258
19,108/01/29,17270736,291856657,16.85,16.95,16.8,16.95,0.0,3012
18,108/01/28,17750221,298909862,16.75,16.95,16.65,16.95,0.2,3100
17,108/01/25,19378485,325222454,16.8,16.9,16.65,16.75,-0.05,3819
16,108/01/24,24877403,416126971,16.5,16.8,16.5,16.8,0.25,4926
15,108/01/23,28682566,475002305,16.4,16.65,16.4,16.55,0.05,3475
14,108/01/22,15807498,260456416,16.5,16.55,16.35,16.5,0.0,2554
13,108/01/21,24733871,406687311,16.35,16.5,16.25,16.5,0.2,3597
12,108/01/18,15641142,255279252,16.35,16.35,16.25,16.3,-0.05,3052
11,108/01/17,23926985,389463557,16.2,16.35,16.15,16.35,0.1,5470
10,108/01/16,18932523,306432572,16.1,16.25,16.1,16.25,0.1,4360
9,108/01/15,36394180,584383286,15.9,16.15,15.9,16.15,0.35,6634
8,108/01/14,11939992,188972718,15.8,15.9,15.75,15.8,-0.05,2437
7,108/01/11,29632493,467031104,15.65,15.9,15.65,15.85,0.15,4493
6,108/01/10,17676788,276504603,15.6,15.7,15.55,15.7,0.0,4383
5,108/01/09,28271868,444054502,15.65,15.8,15.6,15.7,0.15,5048
4,108/01/08,17174509,266462813,15.55,15.6,15.45,15.55,0.05,3817
3,108/01/07,22325904,344334575,15.35,15.55,15.25,15.5,0.4,4473
2,108/01/04,10561860,159844511,15.0,15.2,15.0,15.1,0.0,2280
1,108/01/03,13691028,206820298,15.15,15.2,15.05,15.1,-0.1,3278
0,108/01/02,11300513,172659382,15.4,15.45,15.15,15.2,-0.25,3289
20,107/12/28,16510389,253882338,15.3,15.45,15.2,15.45,0.15,2736
19,107/12/27,10954999,166496800,15.2,15.3,15.1,15.3,0.2,2479
18,107/12/26,7937147,119570394,15.0,15.15,14.95,15.1,0.1,797
17,107/12/25,19308640,288819250,14.9,15.05,14.85,15.0,0.0,1916
16,107/12/24,17405391,261585115,15.0,15.15,14.95,15.0,0.0,3839
15,107/12/22,9547350,143784250,15.1,15.2,15.0,15.0,-0.1,1871
14,107/12/21,22777440,342823399,15.15,15.15,14.95,15.1,-0.05,2884
13,107/12/20,15481444,236036910,15.3,15.35,15.1,15.15,-0.25,3207
12,107/12/19,22998618,352972698,15.35,15.45,15.25,15.4,0.15,3905
11,107/12/18,29450488,450125552,15.3,15.4,15.2,15.25,-0.05,3929
10,107/12/17,16816275,257667886,15.4,15.4,15.25,15.3,-0.15,2580
9,107/12/14,23150083,356229761,15.45,15.45,15.3,15.45,0.0,5940
8,107/12/13,33108228,509038163,15.3,15.45,15.25,15.45,0.2,6090
